time,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,average_path
0.115079,94.786159,96.627037,104.468709,110.997077,93.971856,98.613390,97.159850,100.274426,94.937246,90.020223,100.572696
0.119048,92.790354,98.152885,103.757749,110.507768,94.161180,100.172713,96.890317,99.612610,94.563678,89.897045,100.595683
0.123016,94.057344,96.870845,104.582430,111.239403,93.678003,100.077083,95.430888,100.299414,95.297292,90.070890,100.616863
0.126984,93.592393,95.627243,104.578653,114.177071,93.736799,99.586428,95.683449,100.402538,94.257511,88.789170,100.634707
0.130952,92.918482,95.431613,102.308865,114.681437,93.090061,98.844088,97.338020,100.846592,93.869583,88.888447,100.657221
0.134921,91.407018,96.086896,102.352698,115.354823,94.670266,100.289872,96.268203,101.268220,94.770739,88.364912,100.674183
0.138889,90.783313,95.476636,102.803622,114.176045,93.266665,99.433815,97.064970,98.892338,94.827735,88.166626,100.696140
0.142857,90.160665,94.192521,102.951789,116.265247,92.883572,99.458257,98.037911,98.966418,95.387056,87.209935,100.710654
0.146825,90.073874,95.187411,103.278036,115.948837,94.971347,100.377910,98.040692,100.318873,93.977298,87.765252,100.727603
0.150794,90.656246,96.480543,103.287817,115.934442,94.731859,102.314506,98.541937,100.716274,92.809774,89.301098,100.743593
0.154762,89.557217,96.699063,103.460176,111.104330,93.833728,102.648496,96.332124,99.659821,91.796435,87.125837,100.765510
0.158730,89.600828,98.531274,101.879001,109.174864,95.109505,102.872794,95.089265,97.767600,91.845064,87.095197,100.784640
0.162698,89.477121,99.669555,100.656897,109.484554,95.313153,103.101934,93.778557,98.547909,89.606978,85.899531,100.802958
0.166667,89.241300,98.987088,100.114584,110.340382,97.210332,101.814595,92.576214,97.782018,88.467770,84.838344,100.818816
0.170635,89.769334,97.639884,101.362224,109.491106,95.520939,102.214969,91.572303,97.037552,89.804470,84.834539,100.838849
0.174603,89.572936,96.916311,102.488821,109.110308,94.532260,103.705508,90.836224,96.086184,90.426940,84.488194,100.855396
0.178571,89.699715,97.864139,102.592562,109.471900,95.041643,104.540801,90.941666,95.964320,90.008956,86.009285,100.877320
0.182540,89.401388,96.922330,104.601070,109.324354,94.747902,104.561666,90.997510,94.845516,89.814141,86.889956,100.894961
0.186508,90.068987,95.571150,108.171378,107.203636,93.576813,103.415433,89.689742,97.763201,89.839418,85.304501,100.910756
0.190476,89.929143,97.939158,110.024214,107.780064,94.415260,104.850096,88.994151,96.193468,88.186112,86.106950,100.926321
0.194444,90.238124,95.064339,112.242595,104.700956,94.450572,104.402374,88.157901,95.351483,88.371240,87.337219,100.948091
0.198413,90.877709,95.591602,113.241050,103.399385,94.300881,105.074474,86.482306,95.717285,87.329539,87.763818,100.966033
0.202381,91.291757,96.049960,113.346191,102.935772,95.926544,104.700864,87.565816,95.056224,86.693373,86.883317,100.984780
0.206349,92.522310,99.969750,111.444427,103.692068,94.425203,104.451124,88.191396,95.750056,85.205574,87.465890,101.001189
0.210317,92.685679,99.362252,110.819640,102.497697,96.417004,102.967296,86.005072,95.308686,85.587112,88.253970,101.021662
0.214286,94.394170,100.179608,110.503697,102.060003,95.994011,103.123839,85.519515,94.943280,86.348523,88.476627,101.053889
0.218254,95.648326,99.638200,109.839176,102.470373,96.103490,102.889363,85.786638,94.244449,86.514669,87.186819,101.072169
0.222222,95.087443,98.816916,108.175817,101.132043,94.821645,102.276858,85.123981,93.471379,85.070826,88.438215,101.096012
0.226190,94.325503,96.132859,109.138636,101.817640,93.936505,100.086860,85.475124,93.327999,83.736447,89.389736,101.114590
0.230159,95.214633,95.708874,108.331730,102.045694,95.209302,101.273466,85.246535,93.666018,84.394361,88.013200,101.136748
0.234127,94.864647,94.544562,109.729846,100.110189,96.563121,103.127812,84.449543,95.295550,84.930146,87.558955,101.158623
0.238095,95.720259,93.872863,108.665115,101.531771,95.685665,102.377786,83.249108,94.940996,84.446696,88.239473,101.181183
0.242063,93.675913,91.955525,109.242818,100.468820,92.827255,103.848506,83.622167,94.635346,83.927292,89.242823,101.196433
0.246032,93.891056,93.009721,109.388968,99.661708,93.285284,101.869832,83.385243,95.118904,84.357964,88.600590,101.216545
0.250000,95.585426,91.995428,109.629366,101.061851,94.332946,99.781751,83.624021,95.893225,84.126922,88.838905,101.237145
0.253968,95.762447,91.913893,111.975604,100.611195,94.814931,100.228711,82.287940,96.734925,84.918081,88.602633,101.253807
0.257937,94.490103,91.946469,111.090446,100.620603,95.240485,97.279963,82.710495,96.579279,83.843357,88.875966,101.275802
0.261905,92.988728,90.669341,112.534839,98.962415,95.268759,97.258776,83.142220,96.950238,84.811781,88.010520,101.298544
0.265873,93.072296,91.096580,115.219874,97.601579,94.837589,97.844126,83.154679,95.371294,83.968685,86.958938,101.322282
0.269841,93.190055,91.110470,115.052851,98.139654,94.494632,97.051067,82.274544,93.274171,83.664729,85.642091,101.342727
0.273810,91.835529,89.196926,115.127514,98.149842,94.895106,96.814238,84.140096,94.226252,83.445206,86.360119,101.360399
0.277778,92.260698,89.493376,113.301281,99.424967,96.462610,99.091194,84.387782,94.760902,80.389145,84.534023,101.377398
0.281746,92.988968,89.899333,112.413482,98.065728,96.209372,100.419368,84.207885,93.943427,81.386561,85.568232,101.399051
0.285714,92.751414,89.635951,113.051187,96.183783,94.784033,100.300899,84.112902,94.490680,80.991476,86.613748,101.419831
0.289683,93.024057,90.013297,113.391096,97.339387,96.280800,97.706430,85.257145,95.956697,81.109272,85.393263,101.439448
0.293651,93.239872,88.661043,116.981973,96.755357,95.717539,97.024828,87.252322,96.780978,81.932948,85.218401,101.456092
0.297619,93.281458,88.396403,115.711318,95.323901,97.350136,96.201705,87.854106,98.558608,80.985585,84.586930,101.478960
0.301587,93.818076,90.264598,115.615026,94.533278,96.673896,95.845114,88.816137,97.837129,79.661135,84.489521,101.500676
